google_url,establishment_url,scraped_item,ingredients,combined_score,attribute_scores
'https://maps.google.com/?cid=44402270265030064','http://places.singleplatform.com/cavatore-italian-restaurant/menu?ref=google',gamberi con capesante,sautéed shrimp and scallops with garlic and fresh herbs in lemon butter sauce,0.3659362,"{'name': np.float32(0.38194475), 'ingredient_1': np.float32(0.5311334), 'ingredient_2': np.float32(0.47137585), 'ingredient_3': np.float32(0.5194722)}"
'https://maps.google.com/?cid=6333958978982575875','https://www.rielhtx.com/',truffle & caviar pierogies,,0.36540663,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=6333958978982575875','https://www.rielhtx.com/',honey pecan crawfish,"cream, beans, green, honey candied pecans, crawfish tails, horseradish, pea shoots",0.36536133,"{'name': np.float32(0.4370418), 'ingredient_1': np.float32(0.46805826), 'ingredient_2': np.float32(0.4966475), 'ingredient_3': np.float32(0.49538964)}"
'https://maps.google.com/?cid=4902502522606942362','https://www.jbarmbbq.com/menus/',pulled pork,,0.3635312,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=6333958978982575875','https://www.rielhtx.com/',corn gnoochi,,0.36299086,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=4902502522606942362','https://www.jbarmbbq.com/menus/',sausages,,0.3615607,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=17197490583148868555','https://www.epasha.com/menus/main-courses.html',irsik kebab,,0.36143938,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=6333958978982575875','https://www.rielhtx.com/',boudin balls,,0.36100137,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=13267085063722997148','http://www.travelerstable.com/',homemade biscuits,honey butter and fruit jam,0.36041045,"{'name': np.float32(0.32605052), 'ingredient_1': np.float32(0.47326398), 'ingredient_2': np.float32(0.4387666), 'ingredient_3': np.float32(0.46380353)}"
'https://maps.google.com/?cid=44402270265030064','http://places.singleplatform.com/cavatore-italian-restaurant/menu?ref=google',insalata di calamari fritti,green mixed salad with warm fried calamari,0.36034942,"{'name': np.float32(0.42292026), 'ingredient_1': np.float32(0.48200622), 'ingredient_2': np.float32(0.5313343), 'ingredient_3': np.float32(0.4828642)}"
'https://maps.google.com/?cid=17197490583148868555','https://www.epasha.com/menus/main-courses.html',kazandibi,"caramelized milk custard, pistachios, cinnamon",0.36022842,"{'name': np.float32(0.3479437), 'ingredient_1': np.float32(0.43539557), 'ingredient_2': np.float32(0.40507007), 'ingredient_3': np.float32(0.4103095)}"
'https://maps.google.com/?cid=44402270265030064','http://places.singleplatform.com/cavatore-italian-restaurant/menu?ref=google',ravioli di mare,seafood ravioli with cream sauce,0.36020333,"{'name': np.float32(0.37440422), 'ingredient_1': np.float32(0.4792042), 'ingredient_2': np.float32(0.40745756), 'ingredient_3': np.float32(0.4435799)}"
'https://maps.google.com/?cid=14730236725027949531','http://places.singleplatform.com/kenny--ziggys-new-york-deli/menu?ref=google',the matzoh brei,,0.3601888,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=4902502522606942362','https://www.jbarmbbq.com/menus/',ribs,,0.35967782,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=44402270265030064','http://places.singleplatform.com/cavatore-italian-restaurant/menu?ref=google',snapper della casa,snapper sautéed with mushrooms sun-dried tomatoes in a lemon butter sauce,0.3596049,"{'name': np.float32(0.41086036), 'ingredient_1': np.float32(0.47326398), 'ingredient_2': np.float32(0.49920297), 'ingredient_3': np.float32(0.50373423)}"
'https://maps.google.com/?cid=14730236725027949531','http://places.singleplatform.com/kenny--ziggys-new-york-deli/menu?ref=google',gravy,,0.3575446,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=17197490583148868555','https://www.epasha.com/menus/main-courses.html',ayran,,0.35731095,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
